pomme,73.0,0.4,17.0,0.4
beurre cacahuetes,588.0,25.0,20.0,50.0
beurre cacahuetes,588.0,25.0,20.0,50.0
pommes de terre,85.0,1.5,18.0,0.1
pomme,73.0,0.4,17.0,0.4
